iter	RMSE
0	14.13360382
1	13.328109
2	12.60805687
3	11.92222875
4	11.36788483
5	10.84370081
6	10.39291942
7	9.921467409
8	9.463505835
9	9.173587145
10	8.786302659
11	8.453166458
12	8.211896476
13	7.979039601
14	7.745879616
15	7.553731067
16	7.383785523
17	7.218820883
18	7.054448024
19	6.935128306
20	6.812019416
21	6.710924943
22	6.606487018
23	6.515859324
24	6.42202919
25	6.35165277
26	6.28501458
27	6.206012951
28	6.148610737
29	6.09256571
30	6.040834327
31	5.990883961
32	5.951435372
33	5.923032699
34	5.887030151
35	5.862414408
36	5.83300499
37	5.799408608
38	5.774952369
39	5.748159946
40	5.728969775
41	5.703569044
42	5.686028388
43	5.669233909
44	5.652803453
45	5.626419821
46	5.613714337
47	5.602371166
48	5.588615955
49	5.572105332
50	5.560316582
51	5.540509121
52	5.523103402
53	5.506986664
54	5.49423673
55	5.482720063
56	5.469489992
57	5.453816484
58	5.444543509
59	5.435777318
60	5.426641535
61	5.41640546
62	5.409213779
63	5.403223819
64	5.397616713
65	5.392653816
66	5.380350337
67	5.376651689
68	5.368620911
69	5.36392786
70	5.359355183
71	5.3465242
72	5.334816856
73	5.32649211
74	5.319445202
75	5.314455039
76	5.308090043
77	5.29787871
78	5.291920062
79	5.287327531
80	5.276644043
81	5.270524803
82	5.264754124
83	5.257484022
84	5.253855497
85	5.249709873
86	5.246519483
87	5.243148699
88	5.234548202
89	5.231574672
90	5.225670555
91	5.22299249
92	5.220063567
93	5.212756611
94	5.206828736
95	5.199403426
96	5.196192036
97	5.191636138
98	5.189089263
99	5.185359625
100	5.181818128
101	5.179194917
102	5.173846986
103	5.171412347
104	5.168535525
105	5.16091427
106	5.156149416
107	5.153503595
108	5.15201273
109	5.145306012
110	5.142688873
111	5.140597431
112	5.138706261
113	5.130570086
114	5.125074155
115	5.120495106
116	5.117244722
117	5.115210876
118	5.113760196
119	5.107861697
120	5.10661454
121	5.095622591
122	5.093185494
123	5.083659377
124	5.081185205
125	5.078261279
126	5.076413118
127	5.073801649
128	5.06692596
129	5.063718586
130	5.059903029
131	5.055955195
132	5.051105631
133	5.045459351
134	5.039317068
135	5.036233472
136	5.033094654
137	5.028156989
138	5.020527274
139	5.018350947
140	5.013674031
141	5.005891002
142	5.001355213
143	4.998053914
144	4.995908716
145	4.990156391
146	4.989201482
147	4.986385404
148	4.981624998
149	4.980497147
150	4.975114842
151	4.971180265
152	4.96712988
153	4.962882374
154	4.95937356
155	4.956015027
156	4.953506305
157	4.946318521
158	4.943259574
159	4.94051552
160	4.936798936
161	4.933941498
162	4.929370788
163	4.923963641
164	4.921568336
165	4.918534743
166	4.912656815
167	4.909165905
168	4.905359945
169	4.9010236
170	4.898786098
171	4.897061262
172	4.896204411
173	4.895263049
174	4.893651243
175	4.889669713
176	4.885411741
177	4.884100581
178	4.879913965
179	4.873634529
180	4.871823032
181	4.869957728
182	4.865299418
183	4.8581058
184	4.85654438
185	4.855650686
186	4.852656304
187	4.850607916
188	4.848603767
189	4.845398215
190	4.838896924
191	4.8366573
192	4.832768716
193	4.829467665
194	4.828206566
195	4.824487166
196	4.820091572
197	4.81666564
198	4.815556679
199	4.810983724
