iter	Passed	Remaining
0	221	221280
1	227	113695
2	251	83472
3	260	64852
4	294	58642
5	301	49889
6	312	44340
7	322	40016
8	335	36973
9	341	33793
10	356	32056
11	365	30054
12	372	28308
13	385	27119
14	391	25722
15	406	25006
16	418	24179
17	425	23216
18	436	22547
19	455	22303
20	466	21731
21	470	20909
22	481	20448
23	486	19769
24	497	19406
25	504	18910
26	512	18475
27	519	18024
28	534	17885
29	545	17631
30	550	17222
31	563	17056
32	579	16972
33	584	16604
34	588	16230
35	593	15879
36	597	15563
37	603	15280
38	607	14978
39	615	14765
40	619	14491
41	625	14258
42	634	14124
43	646	14046
44	651	13826
45	656	13606
46	662	13441
47	666	13225
48	670	13021
49	677	12870
50	684	12741
51	694	12653
52	700	12518
53	720	12619
54	729	12534
55	741	12505
56	751	12437
57	759	12332
58	767	12248
59	773	12124
60	783	12061
61	789	11937
62	795	11837
63	801	11718
64	810	11664
65	816	11556
66	821	11442
67	831	11395
68	837	11302
69	844	11221
70	849	11117
71	859	11072
72	865	10992
73	874	10946
74	898	11078
75	912	11098
76	931	11169
77	945	11176
78	958	11174
79	968	11143
80	988	11213
81	994	11134
82	1002	11075
83	1021	11141
84	1038	11182
85	1054	11211
86	1069	11220
87	1091	11307
88	1103	11296
89	1111	11239
90	1122	11211
91	1152	11375
92	1178	11494
93	1185	11422
94	1195	11388
95	1205	11348
96	1210	11271
97	1219	11222
98	1224	11144
99	1229	11067
100	1236	11004
101	1240	10921
102	1245	10844
103	1253	10798
104	1257	10719
105	1261	10642
106	1266	10570
107	1271	10504
108	1280	10465
109	1284	10394
110	1294	10369
111	1300	10310
112	1313	10312
113	1318	10245
114	1326	10208
115	1331	10150
116	1340	10117
117	1346	10067
118	1354	10030
119	1359	9968
120	1365	9918
121	1372	9880
122	1377	9824
123	1386	9793
124	1391	9739
125	1395	9681
126	1403	9646
127	1407	9591
128	1412	9536
129	1420	9503
130	1424	9452
131	1429	9400
132	1434	9350
133	1438	9295
134	1442	9242
135	1448	9202
136	1452	9152
137	1457	9104
138	1463	9066
139	1467	9015
140	1471	8965
141	1477	8926
142	1481	8878
143	1485	8829
144	1491	8793
145	1495	8748
146	1499	8702
147	1506	8674
148	1510	8629
149	1514	8584
150	1520	8549
151	1524	8506
152	1528	8462
153	1532	8417
154	1537	8382
155	1541	8340
156	1546	8304
157	1553	8279
158	1558	8243
159	1570	8243
160	1574	8202
161	1585	8202
162	1592	8175
163	1603	8173
164	1607	8134
165	1616	8119
166	1620	8083
167	1626	8053
168	1630	8017
169	1635	7983
170	1640	7951
171	1645	7920
172	1649	7883
173	1653	7847
174	1660	7826
175	1663	7790
176	1668	7756
177	1676	7740
178	1680	7706
179	1684	7672
180	1691	7651
181	1695	7620
182	1705	7615
183	1711	7589
184	1715	7556
185	1720	7529
186	1726	7504
187	1734	7492
188	1738	7459
189	1743	7431
190	1751	7420
191	1756	7390
192	1764	7377
193	1768	7348
194	1772	7318
195	1779	7299
196	1784	7272
197	1790	7252
198	1795	7226
199	1799	7197
200	1807	7184
201	1811	7156
202	1816	7133
203	1825	7121
204	1829	7094
205	1833	7067
206	1838	7041
207	1842	7017
208	1854	7017
209	1858	6992
210	1867	6982
211	1872	6959
212	1882	6956
213	1889	6938
214	1893	6913
215	1898	6890
216	1903	6869
217	1912	6859
218	1916	6835
219	1920	6810
220	1925	6787
221	1930	6764
222	1936	6748
223	1941	6726
224	1946	6704
225	1956	6699
226	1962	6681
227	1969	6668
228	1973	6643
229	1977	6620
230	1984	6607
231	1988	6583
232	1993	6563
233	2000	6548
234	2004	6526
235	2008	6503
236	2015	6488
237	2019	6465
238	2023	6442
239	2030	6428
240	2033	6405
241	2038	6384
242	2045	6372
243	2049	6350
244	2053	6329
245	2060	6315
246	2065	6295
247	2068	6273
248	2078	6267
249	2082	6246
250	2087	6229
251	2093	6213
252	2097	6192
253	2100	6170
254	2109	6163
255	2114	6144
256	2118	6125
257	2123	6106
258	2127	6085
259	2131	6065
260	2137	6053
261	2142	6035
262	2146	6016
263	2152	6002
264	2157	5983
265	2162	5966
266	2168	5953
267	2173	5936
268	2180	5926
269	2184	5907
270	2188	5887
271	2195	5876
272	2199	5857
273	2203	5838
274	2208	5822
275	2212	5804
276	2216	5785
277	2220	5767
278	2226	5753
279	2230	5735
280	2234	5717
281	2240	5705
282	2245	5688
283	2248	5669
284	2255	5659
285	2259	5642
286	2265	5627
287	2273	5619
288	2277	5601
289	2280	5584
290	2287	5573
291	2292	5557
292	2295	5540
293	2303	5531
294	2308	5516
295	2312	5498
296	2318	5488
297	2322	5471
298	2326	5454
299	2335	5449
300	2339	5433
301	2343	5417
302	2349	5403
303	2353	5389
304	2359	5377
305	2365	5365
306	2374	5360
307	2379	5346
308	2388	5340
309	2393	5328
310	2397	5311
311	2404	5301
312	2408	5285
313	2412	5269
314	2419	5261
315	2423	5245
316	2427	5229
317	2433	5219
318	2437	5204
319	2443	5191
320	2451	5185
321	2455	5169
322	2459	5154
323	2467	5148
324	2471	5132
325	2477	5122
326	2482	5109
327	2486	5094
328	2490	5080
329	2496	5068
330	2500	5053
331	2504	5038
332	2511	5029
333	2515	5016
334	2519	5001
335	2525	4991
336	2530	4979
337	2537	4970
338	2546	4965
339	2550	4950
340	2557	4942
341	2561	4928
342	2565	4913
343	2572	4905
344	2576	4891
345	2581	4878
346	2587	4869
347	2591	4854
348	2594	4840
349	2599	4827
350	2603	4814
351	2607	4801
352	2611	4787
353	2618	4778
354	2622	4764
355	2628	4754
356	2633	4743
357	2638	4731
358	2645	4722
359	2649	4710
360	2653	4697
361	2658	4685
362	2663	4673
363	2667	4660
364	2671	4647
365	2676	4637
366	2680	4623
367	2684	4610
368	2691	4602
369	2695	4589
370	2699	4576
371	2706	4568
372	2710	4555
373	2715	4545
374	2722	4537
375	2726	4525
376	2730	4512
377	2738	4506
378	2743	4494
379	2746	4481
380	2754	4474
381	2758	4461
382	2762	4449
383	2769	4443
384	2774	4431
385	2785	4430
386	2790	4420
387	2801	4418
388	2804	4405
389	2813	4400
390	2817	4388
391	2821	4376
392	2826	4366
393	2832	4356
394	2836	4344
395	2844	4338
396	2848	4326
397	2852	4314
398	2858	4305
399	2862	4294
400	2866	4282
401	2871	4271
402	2877	4261
403	2880	4250
404	2884	4238
405	2891	4229
406	2894	4217
407	2899	4207
408	2906	4200
409	2910	4188
410	2914	4176
411	2921	4168
412	2925	4157
413	2929	4146
414	2938	4142
415	2942	4130
416	2946	4119
417	2953	4112
418	2957	4101
419	2961	4089
420	2967	4081
421	2972	4071
422	2976	4060
423	2983	4052
424	2987	4041
425	2992	4031
426	2996	4021
427	3000	4010
428	3009	4006
429	3014	3995
430	3019	3985
431	3026	3978
432	3030	3968
433	3036	3960
434	3043	3952
435	3047	3942
436	3056	3937
437	3061	3928
438	3066	3918
439	3072	3910
440	3077	3900
441	3084	3894
442	3089	3884
443	3093	3873
444	3100	3866
445	3104	3856
446	3108	3845
447	3115	3839
448	3119	3828
449	3125	3819
450	3133	3814
451	3138	3804
452	3142	3794
453	3147	3785
454	3152	3776
455	3160	3770
456	3168	3764
457	3210	3799
458	3215	3789
459	3224	3785
460	3241	3789
461	3246	3781
462	3256	3777
463	3261	3767
464	3273	3766
465	3279	3757
466	3285	3750
467	3291	3741
468	3295	3731
469	3304	3725
470	3309	3716
471	3316	3709
472	3322	3701
473	3327	3692
474	3338	3690
475	3343	3680
476	3351	3675
477	3356	3665
478	3365	3660
479	3370	3651
480	3375	3642
481	3385	3638
482	3399	3638
483	3408	3633
484	3415	3626
485	3430	3628
486	3439	3623
487	3444	3613
488	3457	3613
489	3475	3617
490	3487	3615
491	3496	3610
492	3512	3612
493	3526	3612
494	3541	3613
495	3556	3613
496	3561	3604
497	3576	3604
498	3608	3623
499	3613	3613
500	3619	3605
501	3623	3594
502	3631	3588
503	3635	3577
504	3640	3568
505	3648	3561
506	3652	3551
507	3656	3541
508	3662	3533
509	3666	3523
510	3670	3512
511	3676	3504
512	3681	3494
513	3684	3484
514	3690	3475
515	3696	3467
516	3707	3463
517	3711	3453
518	3719	3446
519	3724	3437
520	3728	3428
521	3737	3422
522	3741	3412
523	3745	3402
524	3754	3396
525	3758	3386
526	3765	3380
527	3770	3370
528	3774	3360
529	3781	3353
530	3789	3346
531	3798	3341
532	3802	3331
533	3806	3321
534	3813	3314
535	3818	3305
536	3823	3296
537	3832	3291
538	3836	3281
539	3844	3275
540	3848	3265
541	3852	3255
542	3859	3248
543	3863	3238
544	3867	3229
545	3874	3222
546	3879	3212
547	3883	3203
548	3888	3194
549	3893	3185
550	3898	3176
551	3905	3169
552	3910	3160
553	3916	3152
554	3924	3147
555	3929	3137
556	3938	3132
557	3943	3123
558	3946	3113
559	3954	3107
560	3959	3098
561	3967	3092
562	3971	3082
563	3976	3073
564	3984	3068
565	3991	3060
566	4000	3054
567	4004	3045
568	4015	3041
569	4019	3032
570	4024	3023
571	4038	3021
572	4050	3018
573	4075	3024
574	4086	3020
575	4091	3011
576	4101	3007
577	4117	3006
578	4125	2999
579	4130	2991
580	4135	2982
581	4147	2978
582	4152	2969
583	4162	2964
584	4166	2955
585	4173	2948
586	4177	2939
587	4181	2929
588	4189	2923
589	4193	2914
590	4198	2905
591	4204	2897
592	4208	2888
593	4212	2879
594	4219	2872
595	4223	2863
596	4227	2854
597	4239	2849
